Household_ID,Month,Monthly_Water_Consumption_Litres,Income_Group,Municipality_Zone,Rainfall_mm
H001,2024-01,1637,Middle,Zone_C,101
H001,2024-02,1291,Middle,Zone_C,89
H001,2024-03,1281,Middle,Zone_C,23
H001,2024-04,1726,Middle,Zone_C,81
H001,2024-05,1551,Middle,Zone_C,57
H001,2024-06,1700,Middle,Zone_C,31
H002,2024-01,1858,Middle,Zone_C,32
H002,2024-02,1827,Middle,Zone_C,29
H002,2024-03,2061,Middle,Zone_C,67
H002,2024-04,1516,Middle,Zone_C,89
H002,2024-05,1622,Middle,Zone_C,76
H002,2024-06,1507,Middle,Zone_C,50
H003,2024-01,2172,Middle,Zone_A,111
H003,2024-02,1757,Middle,Zone_A,39
H003,2024-03,1825,Middle,Zone_A,27
H003,2024-04,1883,Middle,Zone_A,29
H003,2024-05,2464,Middle,Zone_A,31
H003,2024-06,2218,Middle,Zone_A,51
H004,2024-01,1710,High,Zone_C,71
H004,2024-02,2112,High,Zone_C,109
H004,2024-03,1878,High,Zone_C,23
H004,2024-04,1908,High,Zone_C,44
H004,2024-05,2082,High,Zone_C,101
H004,2024-06,2161,High,Zone_C,65
H005,2024-01,2363,Middle,Zone_B,47
H005,2024-02,1972,Middle,Zone_B,107
H005,2024-03,1900,Middle,Zone_B,20
H005,2024-04,2034,Middle,Zone_B,96
H005,2024-05,1732,Middle,Zone_B,115
H005,2024-06,2061,Middle,Zone_B,106
H006,2024-01,2062,Middle,Zone_B,66
H006,2024-02,1562,Middle,Zone_B,85
H006,2024-03,1722,Middle,Zone_B,98
H006,2024-04,2083,Middle,Zone_B,15
H006,2024-05,1804,Middle,Zone_B,56
H006,2024-06,1917,Middle,Zone_B,20
H007,2024-01,3097,High,Zone_A,108
H007,2024-02,3020,High,Zone_A,69
H007,2024-03,3468,High,Zone_A,44
H007,2024-04,3495,High,Zone_A,111
H007,2024-05,2801,High,Zone_A,52
H007,2024-06,3081,High,Zone_A,67
H008,2024-01,1112,Low,Zone_A,41
H008,2024-02,1389,Low,Zone_A,83
H008,2024-03,1224,Low,Zone_A,58
H008,2024-04,1546,Low,Zone_A,68
H008,2024-05,1103,Low,Zone_A,31
H008,2024-06,1348,Low,Zone_A,81
H009,2024-01,1089,Low,Zone_A,82
H009,2024-02,1004,Low,Zone_A,99
